log_V_V0,M_abs,log_V_V0_unc,M_abs_unc,zobs
-0.5090600684925028,-15.526119706467203,0.03,0.03,0.051137202081171784
-0.5607127792834183,-15.959893339055906,0.03,0.03,0.04882490601580591
0.2884657189246065,-22.38787538347486,0.03,0.03,0.09107678172383382
-0.0692028493178265,-19.189289155239937,0.03,0.03,0.0696732226828316
-0.13207243871637075,-19.11864531000394,0.03,0.03,0.03076307922791721
0.2711302913396123,-21.89909881256661,0.03,0.03,0.06152495567702099
0.12302344116301622,-21.721732672812244,0.03,0.03,0.04006206080224972
-0.5292508124522401,-15.746145736782676,0.03,0.03,0.03678009935386095
0.06300953734828285,-20.238511276552753,0.03,0.03,0.06053000879117798
0.03052282372785653,-20.234180906197246,0.03,0.03,0.032062395130591836
-0.5416880374799442,-15.717441456819454,0.03,0.03,0.07194986164390182
-0.1162323697105565,-19.121933207444222,0.03,0.03,0.05459340042213712
-0.5694474638277336,-16.341007022939703,0.03,0.03,0.0750456004301967
-0.2960459602577392,-17.50542900685818,0.03,0.03,0.0789300954135812
0.1187603616574906,-21.1928596489932,0.03,0.03,0.07946866589569046
-0.21085272320319692,-18.2274553529716,0.03,0.03,0.08224121893038072
0.04684092398688877,-19.69010806923725,0.03,0.03,0.05983816407614562
0.0769794999391995,-20.479105164295575,0.03,0.03,0.03962581093515549
0.10779608841107047,-21.693940802926143,0.03,0.03,0.06739694894711157
0.31066771577528973,-22.40329381921156,0.03,0.03,0.07851175400645727
0.33528680160169433,-22.50479116466945,0.03,0.03,0.08524320688346543
-0.10370067476926037,-19.635196880861603,0.03,0.03,0.08766732734565941
0.2966146007245758,-22.352836409035714,0.03,0.03,0.07083985722941932
0.3141933146472935,-22.841397102759085,0.03,0.03,0.09945546905012748
-0.1911684134695686,-18.40542596338021,0.03,0.03,0.05916776272357116
-0.30841148798485474,-17.898362826491972,0.03,0.03,0.053636268431874745
0.2408314383555772,-21.96959678861572,0.03,0.03,0.07453012566944084
-0.2451422883815535,-17.961650283743822,0.03,0.03,0.06279268982731057
0.10026610300591488,-20.343254533462755,0.03,0.03,0.095652588190408
-0.37547472359182144,-17.211461874622806,0.03,0.03,0.03532324824781852
-0.1695900642644914,-18.561228891883154,0.03,0.03,0.09679589081291118
-0.20817104914497686,-18.08680896805083,0.03,0.03,0.08762721153401531
-0.4789052350169054,-16.963067478363744,0.03,0.03,0.08227214042799091
-0.5970404231238269,-15.287717960547464,0.03,0.03,0.08056970420673926
-0.4614312201885358,-15.773665523342977,0.03,0.03,0.08791185510943178
-0.5221732135694339,-15.933156290125911,0.03,0.03,0.09052365692699049
0.2641694588331034,-22.19007339696183,0.03,0.03,0.06504867327724617
0.2881504929875143,-22.005906688991256,0.03,0.03,0.047985436985511054
-0.07866143657360558,-19.068345984284033,0.03,0.03,0.0704091449823141
-0.0099733852689452,-20.006594485317052,0.03,0.03,0.061909146496559764
-0.49126532097701014,-16.376164297841388,0.03,0.03,0.03957938762129798
0.09888737715766283,-21.07700713512207,0.03,0.03,0.040146417634184806
-0.3639779785911059,-17.620410702748657,0.03,0.03,0.08547702506691324
0.12866243968354496,-21.044745669669837,0.03,0.03,0.09771556283994887
0.07585126078010473,-20.05285083959462,0.03,0.03,0.06000380565502561
-0.008067923043105996,-19.523404000708666,0.03,0.03,0.08693240058001184
-0.05076072033429879,-19.608382173715,0.03,0.03,0.07608809384200144
-0.36490175678531345,-17.003858561328382,0.03,0.03,0.0845772278709882
-0.48760042571597295,-15.852952171116083,0.03,0.03,0.09625431275603158
-0.40903108493711304,-16.12445554693779,0.03,0.03,0.09400921249217276
-0.05737635915524342,-19.62290971700318,0.03,0.03,0.09424693967316378
-0.4658994653183208,-16.112552399959746,0.03,0.03,0.05901508811486256
0.0978659149220431,-20.89767286673904,0.03,0.03,0.08125081136780588
-0.08972010791554474,-19.91892597373718,0.03,0.03,0.05587851386321807
0.26794808634716505,-22.16795957260474,0.03,0.03,0.08027252581681998
0.34956362824047593,-22.47162590948482,0.03,0.03,0.06137786560537273
-0.3438929322580102,-17.20937670838842,0.03,0.03,0.07253953659951784
0.09369044417476502,-20.624726127641292,0.03,0.03,0.08880876258044723
0.37028802608622513,-22.82078113254238,0.03,0.03,0.07073084282751929
